x_cm,y_cm
-1380.1772670209175,-6205.558940558694
-1380.1772670209175,-5900.758940563537
-1258.2572670216905,-6205.558940558694
-1258.2572670216905,-5900.758940563537
-1258.2572670216905,-5595.95894056838
-1136.3372670224635,-6205.558940558694
-1136.3372670224635,-5900.758940563537
-1136.3372670224635,-5595.95894056838
-1136.3372670224635,-5291.158940573223
-1136.3372670224635,-4986.358940578066
-1014.4172670232365,-6205.558940558694
-1014.4172670232365,-5900.758940563537
-1014.4172670232365,-5595.95894056838
-1014.4172670232365,-5291.158940573223
-1014.4172670232365,-4986.358940578066
-1014.4172670232365,-4681.558940582909
-892.4972670240095,-6205.558940558694
-892.4972670240095,-5900.758940563537
-892.4972670240095,-5595.95894056838
-892.4972670240095,-5291.158940573223
-892.4972670240095,-4986.358940578066
-892.4972670240095,-4681.558940582909
-892.4972670240095,-4376.758940587752
-892.4972670240095,-4071.9589405925944
-770.5772670247825,-6205.558940558694
-770.5772670247825,-5900.758940563537
-770.5772670247825,-5595.95894056838
-770.5772670247825,-5291.158940573223
-770.5772670247825,-4986.358940578066
-770.5772670247825,-4681.558940582909
-770.5772670247825,-4376.758940587752
-770.5772670247825,-4071.9589405925944
-770.5772670247825,-3767.1589405974373
-770.5772670247825,-3462.35894060228
-648.6572670255555,-6510.358940553851
-648.6572670255555,-6205.558940558694
-648.6572670255555,-5900.758940563537
-648.6572670255555,-5595.95894056838
-648.6572670255555,-5291.158940573223
-648.6572670255555,-4986.358940578066
-648.6572670255555,-4681.558940582909
-648.6572670255555,-4376.758940587752
-648.6572670255555,-4071.9589405925944
-648.6572670255555,-3767.1589405974373
-648.6572670255555,-3462.35894060228
-648.6572670255555,-3157.558940607123
-526.7372670263285,-6510.358940553851
-526.7372670263285,-6205.558940558694
-526.7372670263285,-5900.758940563537
-526.7372670263285,-5595.95894056838
-526.7372670263285,-5291.158940573223
-526.7372670263285,-4986.358940578066
-526.7372670263285,-4681.558940582909
-526.7372670263285,-4376.758940587752
-526.7372670263285,-4071.9589405925944
-526.7372670263285,-3767.1589405974373
-526.7372670263285,-3462.35894060228
-526.7372670263285,-3157.558940607123
-526.7372670263285,-2852.758940611966
-526.7372670263285,-2547.958940616809
-404.8172670271015,-6510.358940553851
-404.8172670271015,-6205.558940558694
-404.8172670271015,-5900.758940563537
-404.8172670271015,-5595.95894056838
-404.8172670271015,-5291.158940573223
-404.8172670271015,-4986.358940578066
-404.8172670271015,-4681.558940582909
-404.8172670271015,-4376.758940587752
-404.8172670271015,-4071.9589405925944
-404.8172670271015,-3767.1589405974373
-404.8172670271015,-3462.35894060228
-404.8172670271015,-3157.558940607123
-404.8172670271015,-2852.758940611966
-404.8172670271015,-2547.958940616809
-404.8172670271015,-2243.1589406216517
-404.8172670271015,-1938.3589406264946
-282.8972670278745,-6510.358940553851
-282.8972670278745,-6205.558940558694
-282.8972670278745,-5900.758940563537
-282.8972670278745,-5595.95894056838
-282.8972670278745,-5291.158940573223
-282.8972670278745,-4986.358940578066
-282.8972670278745,-4681.558940582909
-282.8972670278745,-4376.758940587752
-282.8972670278745,-4071.9589405925944
-282.8972670278745,-3767.1589405974373
-282.8972670278745,-3462.35894060228
-282.8972670278745,-3157.558940607123
-282.8972670278745,-2852.758940611966
-282.8972670278745,-2547.958940616809
-282.8972670278745,-2243.1589406216517
-282.8972670278745,-1938.3589406264946
-282.8972670278745,-1633.5589406313375
-160.97726702864747,-6510.358940553851
-160.97726702864747,-6205.558940558694
-160.97726702864747,-5900.758940563537
-160.97726702864747,-5595.95894056838
